hunt_code,hunt_name,species,residency,draw_family,hunt_class,weapon,unit_name,current_points_context_available,modeled_draw_probability,guaranteed_line_points,point_creep_1yr,harvest_success_pct,average_days_hunted,average_harvest_age,current_age_3yr_average,percent_5plus,management_objective_type,management_objective_range,management_objective_status,decision_label,persona_tags,sleeper_score,sleeper_reasons,recommended_action,data_confidence,source_badges
BI1000,Bison - Statewide Permit,Bison,Nonresident,SPORTSMAN_PERMIT,Statewide Permit,Any Legal Weapon,Bison - Statewide Permit,true,0,,,100,1,,,,,,,STATUS / AVAILABILITY ONLY,FREEZER_FILLER|HARD_DRIVER,0,,"Hard-driver hunt: quality potential, physical effort or patience likely required.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output|Status / Availability Only
BI1000,Sportsman Bison,Bison,Resident,SPORTSMAN_PERMIT,Statewide Permit,Any Legal Weapon,Sportsman Bison,true,0,,,100,1,,,,,,,STATUS / AVAILABILITY ONLY,FREEZER_FILLER|HARD_DRIVER,0,,"Hard-driver hunt: quality potential, physical effort or patience likely required.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output|Status / Availability Only
BI6500,Antelope Island,Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Antelope Island,true,0,0,0,100,1,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6500,Antelope Island,Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Antelope Island,true,0,31,0,100,1,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6503,Henry Mtns,Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Henry Mtns,true,0,30,0,93.3,2.4,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6503,Henry Mtns,Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Henry Mtns,true,0,30,1,93.3,2.4,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,permit count at or above peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6504,Henry Mtns,Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Henry Mtns,true,0,30,1,100,4.5,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,permit count at or above peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6504,Henry Mtns,Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Henry Mtns,true,0.1,28,1,100,4.5,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,permit count at or above peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6505,Henry Mtns,Bison,Nonresident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Henry Mtns,true,0.1,20,-2,78.6,4,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6505,Henry Mtns,Bison,Resident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Henry Mtns,true,0.5,18,1,78.6,4,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,permit count at or above peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6506,Henry Mtns,Bison,Nonresident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Henry Mtns,true,0,0,0,93.1,5.5,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,3,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6506,Henry Mtns,Bison,Resident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Henry Mtns,true,0.4,17,1,93.1,5.5,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,harvest success above peer median; permit count at or above peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6509,Henry Mtns,Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Archery,Henry Mtns,true,0,0,0,66.7,7,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6509,Henry Mtns,Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Archery,Henry Mtns,true,0.2,20,0,66.7,7,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6516,Henry Mtns,Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Henry Mtns,true,0,0,0,100,3.5,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6516,Henry Mtns,Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Henry Mtns,true,0.1,27,0,100,3.5,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6527,Nine Mile,Bison,Nonresident,GENERAL_BIG_GAME_OTHER,General Season,Any Legal Weapon,Nine Mile,true,0,,,0,9,,,,,,,STATUS / AVAILABILITY ONLY,,1,not an obvious marquee hunt name,Status/availability opportunity. Confirm current rules and availability before planning.,MEDIUM,Official DWR Source|U.O.G.A. Modeled Output|Status / Availability Only
BI6527,Nine Mile,Bison,Resident,GENERAL_BIG_GAME_OTHER,General Season,Any Legal Weapon,Nine Mile,true,0,,,0,9,,,,,,,STATUS / AVAILABILITY ONLY,,1,not an obvious marquee hunt name,Status/availability opportunity. Confirm current rules and availability before planning.,MEDIUM,Official DWR Source|U.O.G.A. Modeled Output|Status / Availability Only
BI6528,"Book Cliffs, Little Creek/South",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Archery,"Book Cliffs, Little Creek/South",true,0,0,0,100,2,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6528,"Book Cliffs, Little Creek/South",Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Archery,"Book Cliffs, Little Creek/South",true,0.6,20,-2,100,2,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6529,"Book Cliffs, Little Creek/South",Bison,Nonresident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,"Book Cliffs, Little Creek/South",true,0,0,0,80,1.8,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6529,"Book Cliffs, Little Creek/South",Bison,Resident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,"Book Cliffs, Little Creek/South",true,0.7,13,-4,80,1.8,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6530,"Book Cliffs, Little Creek/South",Bison,Nonresident,BONUS_OIL_BIG_GAME,,Any Legal Weapon,"Book Cliffs, Little Creek/South",true,,,,5,5,,,,,,,INSUFFICIENT DATA,HARD_DRIVER|TROPHY_DREAMER|DATA_LIMITED_DO_NOT_OVERSELL,0,,Objective or opportunity data is incomplete. Treat this as a limited-confidence research lead.,MEDIUM,Official DWR Source|Review / Limited Data
BI6530,"Book Cliffs, Little Creek/South",Bison,Resident,BONUS_OIL_BIG_GAME,,Any Legal Weapon,"Book Cliffs, Little Creek/South",true,,,,5,5,,,,,,,INSUFFICIENT DATA,HARD_DRIVER|TROPHY_DREAMER|DATA_LIMITED_DO_NOT_OVERSELL,0,,Objective or opportunity data is incomplete. Treat this as a limited-confidence research lead.,MEDIUM,Official DWR Source|Review / Limited Data
BI6531,"Book Cliffs, Little Creek/South",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,"Book Cliffs, Little Creek/South",true,0,0,0,85.7,3.7,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6531,"Book Cliffs, Little Creek/South",Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,"Book Cliffs, Little Creek/South",true,0.5,26,0,85.7,3.7,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6532,"Book Cliffs, Bitter Creek",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Archery,"Book Cliffs, Bitter Creek",true,0,0,0,100,2,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6532,"Book Cliffs, Bitter Creek",Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Archery,"Book Cliffs, Bitter Creek",true,0.4,19,-2,100,2,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6534,"Book Cliffs, Bitter Creek",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,"Book Cliffs, Bitter Creek",true,0,0,0,100,2.5,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6534,"Book Cliffs, Bitter Creek",Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,"Book Cliffs, Bitter Creek",true,0.3,28,0,100,2.5,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
BI6535,"Book Cliffs, Bitter Creek",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,"Book Cliffs, Bitter Creek",true,0,0,0,100,4.2,,,,,,,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output
