hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
Beaver - Private Land Only,LP5025,628,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,LP5025,628,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,1
"Box Elder, West - Private Land Only",LP5031,755,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,LP5031,755,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,2
"Fillmore, Oak Creek South - Private Land Only",LP5033,81,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,LP5033,81,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,3
"San Rafael, North - Private Land Only",LP5046,194,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,LP5046,194,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,4
Southwest Desert - Private Land Only,LP5049,625,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,LP5049,625,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,5
"West Desert, Rush Valley - Private Land Only",LP5051,245,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,LP5051,245,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,6
Pronghorn - Statewide Permit,PB1000,5134,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB1000,5134,Buck,Pronghorn,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",,,1,TOTAL_ONLY,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,7
Beaver,PB5000,628,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB5000,628,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,11,1,12,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,8
"Book Cliffs, Bitter Creek",PB5001,667,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB5001,667,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,13,1,14,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,9
"Book Cliffs, South",PB5002,15,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB5002,15,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,8,1,9,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,10
"Box Elder, Promontory",PB5003,24,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB5003,24,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,4,0,4,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,11
"Box Elder, Puddle Valley",PB5004,25,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB5004,25,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,3,1,4,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,12
"Box Elder, Snowville",PB5005,27,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB5005,27,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,9,1,10,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,13
"Box Elder, West",PB5006,755,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB5006,755,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,10,1,11,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,14
"Fillmore, Oak Creek South",PB5008,81,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB5008,81,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,15,2,17,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,15
"La Sal, Potash/South Cisco",PB5009,688,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PB5009,688,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,6,0,6,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026,16
