hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
"Box Elder, Snowville",PD1000,27,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1000,27,Doe,Pronghorn,Any Legal Weapon,General Season,Nov 08 2025 - Dec 07 2025,72,8,80,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,1
"Box Elder, Promontory",PD1012,24,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1012,24,Doe,Pronghorn,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,22,3,25,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,2
"Box Elder, West",PD1017,755,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1017,755,Doe,Pronghorn,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,49,6,55,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,3
Westlake CWMU,PD1031,558,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1031,558,Doe,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,9,0,9,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,4
"San Rafael, Poison Springs Bench",PD1033,110,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1033,110,Doe,Pronghorn,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,13,2,15,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,5
"Fillmore, Oak Creek South",PD1034,81,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1034,81,Doe,Pronghorn,Any Legal Weapon,General Season,Aug 01 2025 - Aug 13 2025,27,3,30,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,6
"Fillmore, Oak Creek South",PD1035,81,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1035,81,Doe,Pronghorn,Any Legal Weapon,General Season,Nov 01 2025 - Nov 29 2025,27,3,30,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,7
"Nine Mile, Anthro-Pleasant Valley",PD1043,882,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1043,882,Doe,Pronghorn,Any Legal Weapon,General Season,Aug 01 2025 - Aug 16 2025,9,1,10,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,8
Vernal-Ouray Valley,PD1044,895,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1044,895,Doe,Pronghorn,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,9,1,10,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,9
Antelope Creek CWMU,PD1047,581,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,PD1047,581,Doe,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,6,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026,10
