file,status,rows_checked,matched_hunt_codes,rows_changed,changed_cells
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,written,1449,813,0,0
processed_data/hunt_master_enriched_2026_draw_subset.csv,written,54357,813,0,0
processed_data/hunt_unit_reference_linked.csv,written,2997,813,0,0
processed_data/point_ladder_view.csv,written,92954,813,0,0
processed_data/draw_reality_engine.csv,written,36912,813,0,0
processed_data/draw_reality_engine_predictive_v2.csv,written,26507,813,26294,124159
processed_data/ml_draw_predictions_v1.csv,written,26507,813,26294,124159
data/hunt-master-canonical-2026-database-candidate.csv,written,1411,813,0,0
data/hunt-master-canonical-2026-source-of-truth.csv,written,1411,813,0,0
processed_data/hunt-master-canonical-2026-source-of-truth.csv,written,1411,813,0,0
