hunt_code,residency,hunt_name,species,weapon,hunt_type,access_type,public_permits_2025,public_permits_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,applicants_2025,projected_applicants_2026,max_point_permits_2026,random_permits_2026,guaranteed_at_2026,delta_gap,trend,coverage_status,coverage_reason,bg_odds_pdf_page_index,bg_odds_printed_page,bg_odds_hunt_title,has_bg_odds_page,rac_page,rac_section,source_pdf,harvest_hunters_2025,harvest_2025,harvest_success_percent_2025,harvest_average_days_2025,harvest_satisfaction_2025,source_file_2026,link_key,antlerless_odds_sheet,antlerless_odds_row_start,antlerless_odds_title,has_antlerless_odds_page,has_any_odds_source,permits_2026_source,public_permits_2026_source,permit_status,permit_allocation_type,permit_source_authority,permit_note,permit_overlay_source,data_status,permits_2026_conservation,permits_2026_expo,permits_2026_sportsman,special_permit_area_id,special_permit_category,special_permit_note,special_permit_overlay_source,boundary_id
BI1000,Resident,Bison - Statewide Permit,Bison,Any Legal Weapon,Statewide,Public,,,,,2,,,,,,,,,,,CONTEXT_ONLY,excluded_special_permit_class,,,,FALSE,,,,2,2,100,1,5,bison bull.xlsx,BI1000_RESIDENT,,,,FALSE,FALSE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,NO_QUOTA_PUBLISHED,SPORTSMAN,UTAH_DWR_SPORTSMAN_PERMIT_TABLE,Sportsman permit: no published draw odds/applicant-count table; keep listed for permit visibility only.,SPORTSMAN_OVERLAY_2026,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,,
BI1000,Nonresident,Bison - Statewide Permit,Bison,Any Legal Weapon,Statewide,Public,,,,,2,,,,,,,,,,,CONTEXT_ONLY,excluded_special_permit_class,,,,FALSE,,,,2,2,100,1,5,bison bull.xlsx,BI1000_NONRESIDENT,,,,FALSE,FALSE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,NO_QUOTA_PUBLISHED,SPORTSMAN,UTAH_DWR_SPORTSMAN_PERMIT_TABLE,Sportsman permit: no published draw odds/applicant-count table; keep listed for permit visibility only.,SPORTSMAN_OVERLAY_2026,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,,
BI6500,Resident,Antelope Island,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,2,2,0,2,2,0,2,,,1,1,31,30,RED,MODELED,modeled_engine,535,1,Bison (hunter’s Choice ) - Antelo pe Island - Any Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,2,2,100,1,5,bison bull.xlsx,BI6500_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,
BI6500,Nonresident,Antelope Island,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,0,2,0,2,2,0,2,,,0,0,0,-1,GREEN,MODELED,modeled_engine,535,1,Bison (hunter’s Choice ) - Antelo pe Island - Any Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,2,2,100,1,5,bison bull.xlsx,BI6500_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,
BI6503,Resident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,4,5,2,7,4,2,6,,,2,2,29,0,YELLOW,MODELED,modeled_engine,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,
BI6503,Nonresident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,2,5,2,7,4,2,6,,,1,1,30,29,RED,MODELED,modeled_engine,536,2,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,15,14,93.3,2.4,4.6,bison bull.xlsx,BI6503_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,
BI6504,Resident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,5,5,2,7,5,2,7,,,2,3,27,-2,GREEN,MODELED,modeled_engine,537,3,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,13,13,100,4.5,4.2,bison bull.xlsx,BI6504_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,
BI6504,Nonresident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,2,5,2,7,5,2,7,,,1,1,29,28,RED,MODELED,modeled_engine,537,3,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,13,13,100,4.5,4.2,bison bull.xlsx,BI6504_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,
BI6505,Resident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,8,25,4,29,8,3,11,,,4,4,17,-8,GREEN,MODELED,modeled_engine,538,4,Bison (cow Only) - Henr y Mtns - An y Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,28,22,78.6,4,4,bison  cow.xlsx,BI6505_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,
BI6505,Nonresident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Public,,3,25,4,29,8,3,11,,,1,2,22,21,RED,MODELED,modeled_engine,538,4,Bison (cow Only) - Henr y Mtns - An y Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,28,22,78.6,4,4,bison  cow.xlsx,BI6505_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,
